barCode;lName;iName;isbnNumber
6-306-445-934-8;Durer Library;Eastern Brown;217-2-60-289066-8
1-225-848-844-8;Rothko Library;Bednar University;789-5-78-530848-3
9-510-614-287-8;Gauguin Library;North Ontario Institute;523-8-89-272307-1
2-902-220-698-5;Botticelli Library;Larkin College;570-5-92-304865-3
0-377-203-472-3;Dali Library;Eastern Prince Edward Island University;005-9-72-540567-1
9-066-787-465-5;Da Vinci Library;West Newfoundland and Labrador University;665-4-49-020583-6
9-038-398-174-2;Diego Rivera Library;The Parisian;506-7-23-645168-2
6-658-211-574-7;Dali Library;Eastern Prince Edward Island University;472-0-81-543875-1
8-167-783-339-6;Bernini Library;East Krajcik Academy;671-9-02-239486-0
4-975-618-952-0;Dali Library;South Ontario Institute;327-2-88-718622-0
7-856-916-393-3;Warhol Library;Western Yukon Institute;557-1-95-860562-6
8-018-516-488-3;Monet Library;The Parisian;843-1-22-107371-2
9-975-511-734-3;Chagall Library;The Green;488-0-98-012026-4
0-639-362-755-1;Munch Library;Pollich College;184-8-89-989694-2
6-084-241-739-2;Diego Rivera Library;Fisher College;166-3-36-231843-8
6-112-661-484-0;Donatello Library;Southern Senger College;223-0-27-462035-0
8-169-606-874-6;Da Vinci Library;West Newfoundland and Labrador University;776-4-60-458524-0
9-053-769-986-3;Rubens Library;Corwin College;658-7-04-167506-0
8-686-915-268-0;Joan Miro Library;Corwin College;112-3-30-907355-3
0-608-935-422-1;Diego Rivera Library;Eastern Prince Edward Island University;870-8-74-377167-1
0-726-154-267-2;Rothko Library;Bednar University;800-9-91-302051-6
5-902-005-104-5;Edward Hopper Library;West Legros;704-0-70-222312-5
1-859-434-035-3;Raphael Library;East Boehm Academy;138-7-10-468290-7
3-511-179-163-1;Pissarro Library;East Yukon College;955-4-52-987818-5
